수업명,요일/시간,선생님,강의실,수업료,정원  ,학년,교재,시작일,종료일
대기고3,"수 21:30-23:30
일 17:30-19:30",강부희 원장,별관 4강,"₩320,000",12,고3,,2024년 01월 31일,
중앙여고3,"수 19:20-21:20
일 12:00-14:00",강부희 원장,별관 4강,"₩320,000",12,고3,,2024년 01월 31일,
대기고2B,월수 19:30-21:30,권용재,별관 2강,"₩320,000",10,고2,,,
사대부고2, 월수 21:30-23:30,박지환,본관 4강,"₩320,000",9,고2,"- 고2 어법 (제본교재)
- 수능실감 영어 독해 10문항 모의고사 500제
- 어휘끝 수능필수
-팁스영어 내신 제본교재",,
오현고2A,월수 21:30-23:30,정보영 원장,본관 7강,"₩320,000",10,고2,"- 고2 어법 (제본교재)
- 수능실감 영어 독해 10문항 모의고사 500제
-팁스영어 내신 제본교재
-팁스영어 제본교재(부교재)",,
제주여고2,월수 19:20-21:20,정보영 원장,본관 7강,"₩320,000",14,고2,"- 고2 어법 (제본교재)
- 수능실감 영어 독해 10문항 모의고사 500제
-팁스영어 내신 제본교재",,
중앙여고2,월수 19:30-21:30,김민경 원장,별관 3강,"₩320,000",12,고2,"- 고2 어법 (제본교재)
- 수능실감 영어 독해 10문항 모의고사 500제
-팁스영어 내신 제본교재",,
대기고2A,화목 21:30-23:30,한지현,별관 6강,"₩320,000",10,고2,"- 고2 어법 (제본교재)
- 수능실감 영어 독해 10문항 모의고사 500제
-팁스영어 내신 제본교재",,
오현고2B,화목 19:30-21:30,권용재,별관 2강,"₩320,000",12,고2,,,
중1C2,"화목 19:30-21:30
토 16:00-18:00",김동엽,별관 3강,"₩270,000",10,중1,"단어 : 천일문VOCA 중등스타트
문법 : 천일문 중등 GRAMMAR  LEVEL 1
독해 : YBM 리딩프라임 1
듣기 : LISTENING Q 중학영어듣기 모의고사 24회 1",,
중1C1,월수금 17:00-19:00,오인환,별관 1강,"₩270,000",12,중1,"단어 : 천일문VOCA 중등스타트
문법 : 천일문 중등 GRAMMAR  LEVEL 1
독해 : YBM 리딩프라임 1
듣기 : LISTENING Q 중학영어듣기 모의고사 24회 1",,
,,,,,,중1,,,
중1C+2,화목 17:00-19:00,권용재,별관 2강,"₩190,000",12,중1,"단어 : 천일문VOCA 필수
문법 : 천일문 중등 GRAMMAR LEVEL 2
독해 : 자이스토리 중등 포인트 리딩 LEVEL 1
듣기 : LISTENING Q 중학영어듣기 모의고사 24회 2",,
,,,,,,중1,,,
중1C+1,월수금 19:30-21:30,박지환,본관 4강,"₩270,000",10,중1,"단어 : 천일문VOCA 필수
문법 : 천일문 중등 GRAMMAR  LEVEL 2 
독해 : 자이스토리 중등 포인트 리딩 LEVEL 1 
듣기 : LISTENING Q 중학영어듣기 모의고사 24회 2",,
,,,,,,중1,,,
중1B1,수금 17:00-19:00,한지현,별관 6강,"₩190,000",11,중1,"단어 : 천일문VOCA 마스터
문법 : 천일문 중등 GRAMMAR LEVEL 3
독해 : 자이스토리 중등 포인트 리딩 LEVEL 2
듣기 : LISTENING Q 중학영어듣기 모의고사 24회 3",,
,,,,,,중1,,,
중2A,"화목 17:00-19:00
토 13:30-15:30",오인환,별관 1강,"₩270,000",12,중2,"단어 : 능률보카(Voca) 어원편 (그대로)
문법 : (마더텅)고교영문법 3300제 (신간)
독해 : Reading Expert 2(1~3월 중순) / Reading Expert 3(3월 중순~7월)
듣기 : Listening Booster 리스닝 부스터 영어듣기 모의고사 기본 20회",,
,,,,,,중2,,,
중2B+,월수금 17:00-19:00,권용재,별관 2강,"₩270,000",10,중2,"단어 : 능률보카(Voca) 고등 기본 (2025 개정)
문법 : (마더텅) 중학영문법 3800제 3학년 (신간)
독해 : Junior Reading Expert Level 4(주니어 리딩 엑스퍼트 4) / + 유형읽기
듣기 : Listening Booster 리스닝 부스터 영어듣기 모의고사 기본 20회",,
,,,,,,중2,,,
중2B1,월수금 19:30-21:30,오인환,별관 1강,"₩270,000",11,중2,"단어 : BOOSTER VOCA 중등완성 (YBM)
문법 : (YBM)문제로 풀자 중학영문법 level 3
독해 :Junior Reading Expert Level 3  / + 유형읽기
듣기 : (YBM)고득점 중학영어 듣기모의고사 20+2 레벨 3",,
중2B2,"화목 17:00-19:00
토 11:00-13:00",문미성,본관 6강,"₩270,000",10,중2,"단어 : BOOSTER VOCA 중등완성 (YBM)
문법 : (YBM)문제로 풀자 중학영문법 level 3
독해 :Junior Reading Expert Level 3  / + 유형읽기
듣기 : (YBM)고득점 중학영어 듣기모의고사 20+2 레벨 3",,
중2B4,"화목 19:30-21:30
토 16:00-18:00",오인환,별관 1강,"₩270,000",10,중2,"단어 : BOOSTER VOCA 중등완성 (YBM)
문법 : (YBM)문제로 풀자 중학영문법 level 3
독해 :Junior Reading Expert Level 3  / + 유형읽기
듣기 : (YBM)고득점 중학영어 듣기모의고사 20+2 레벨 3",,
중2C+1,월수금 19:30-21:30,박정효,본관 6강,"₩270,000",10,중2,"단어 : BOOSTER VOCA 중등실력 (YBM)
문법 : (YBM)문제로 풀자 중학영문법 level 2
독해 : Junior Reading Expert Level 2  / + 유형읽기
듣기 : (YBM)고득점 중학영어 듣기모의고사 20+2 레벨 2",,
중2C+2,"화목 19:30-21:30
토 16:00-18:00",한지현,별관 6강,"₩270,000",10,중2,"단어 : BOOSTER VOCA 중등실력 (YBM)
문법 : (YBM)문제로 풀자 중학영문법 level 2
독해 : Junior Reading Expert Level 2  / + 유형읽기
듣기 : (YBM)고득점 중학영어 듣기모의고사 20+2 레벨 2",,
오현고1A,화목 21:30-23:30,오인환,별관 1강,"₩320,000",12,고1,,,
오현고1B,화목 21:30-23:30,박지환,본관 7강,"₩320,000",13,고1,,,
사대부고1,화목 19:30-21:30,박지환,본관 4강,"₩320,000",12,고1,,,
중앙여고1A,수금 19:30-21:30,한지현,별관 6강,"₩320,000",13,고1,,,
제주여고1,화목 19:20-21:20,정보영 원장,본관 7강,"₩320,000",10,고1,,,
대기고1A,"화 19:20-21:20
일 15:00-17:00",강부희 원장,별관 4강,"₩320,000",12,고1,,,
초6 초급 2반,"화목 15:30-17:00
토 12:00-13:30",김동엽,별관 3강,"₩230,000",,초6,"단어 : 천일문 VOCA 중등스타트
문법 : Grammar Zone(그래머존) 입문편 + 워크북
독해 : 주니어 리딩튜터 스타터 1 (1~3월)",,
중3S,월수금 17:00-19:00,박지환,본관 4강,"₩300,000",10,중3,"단어: 어휘끝 수능
문법: 천문장 완성
독해: 쎄듀 수능 영어 쇼츠 고난도 유형독해
듣기: 마더텅 MP3 고교영어듣기 모의고사 24회 1학년
제본: 해석연습 완성 (3000원)",,
중3A+1,월수금 17:00-19:00,박정효,본관 6강,"₩300,000",11,중3,"단어: 어휘끝 고교기본
문법: 천문장 기본
독해: 쎄듀 수능 영어 쇼츠 유형독해
듣기: 마더텅 MP3 고교영어듣기 모의고사 24회 1학년
제본: 해석연습 기본 (3000원)",,
중3A+2,"화목 17:00-19:00 
토 13:30-15:30",한지현,별관 6강,"₩300,000",11,중3,"단어: 어휘끝 고교기본
문법: 천문장 기본
독해: 쎄듀 수능 영어 쇼츠 유형독해
듣기: 마더텅 MP3 고교영어듣기 모의고사 24회 1학년
제본: 해석연습 기본 (3000원)",,
중3A1,월수금 17:00-19:00,강택중,본관 8강,"₩300,000",10,중3,"단어: 어휘끝 고교기본
문법: 천문장 기본
독해: 마더텅 수능기출 전국연합 학력평가 20분 미니모의고사 24회 고1 영어
듣기: 마더텅 MP3 고교영어듣기 모의고사 24회 1학년
제본: 해석연습 기본 (3000원)",,
중3A2,"화목 17:00-19:00 
토 14:00-16:00",강택중,본관 8강,"₩300,000",10,중3,"단어: 어휘끝 고교기본
문법: 천문장 기본
독해: 마더텅 수능기출 전국연합 학력평가 20분 미니모의고사 24회 고1 영어
듣기: 마더텅 MP3 고교영어듣기 모의고사 24회 1학년
제본: 해석연습 기본 (3000원)",,
중3B+1,월수금 17:00-19:00,김동엽,별관 3강,"₩300,000",12,중3,"단어: 능률보카 어원편
문법: 천문장 입문
독해: 마더텅 수능기출 전국연합 학력평가 20분 미니모의고사 24회 고1 영어
듣기: 마더텅 100% 실전대비 MP3 중학영어듣기 24회 모의고사 3학년 
제본: 해석연습 입문 (3000원)",,
중3B+2,"화목 17:30-19:30 
토 13:30-15:30",김동엽,별관 3강,"₩300,000",11,중3,"단어: 능률보카 어원편
문법: 천문장 입문
독해: 마더텅 수능기출 전국연합 학력평가 20분 미니모의고사 24회 고1 영어
듣기: 마더텅 100% 실전대비 MP3 중학영어듣기 24회 모의고사 3학년 
제본: 해석연습 입문 (3000원)",,
대기고1B,월수 21:30-23:30,오인환,별관 1강,"₩320,000",12,고1,,,
중앙여고1B,"월 21:30-23:30
금 19:30-21:30",권용재,별관 2강,"₩320,000",12,고1,,,
-,,,,,,,,,
